10,6.1,dBm,5.8,dBm
20,5.8,dBm,111.2,dBuV
50,6.8,dBm,-12.9,dBm
100,113.6,dBuV,79.5,dBuV
200,5.3,dBm,-30.6,dBm
300,4.7,dBm,84.1,dBuV
